Game Date,Visitor,Visitor Score,Home,Home Score,Game URL,OT
22-10-2019 20:00,New Orleans Pelicans,122,Toronto Raptors,130,https://www.basketball-reference.com/boxscores/201910220TOR.html,OT
22-10-2019 22:30,Los Angeles Lakers,102,Los Angeles Clippers,112,https://www.basketball-reference.com/boxscores/201910220LAC.html,
23-10-2019 19:00,Chicago Bulls,125,Charlotte Hornets,126,https://www.basketball-reference.com/boxscores/201910230CHO.html,
23-10-2019 19:00,Detroit Pistons,119,Indiana Pacers,110,https://www.basketball-reference.com/boxscores/201910230IND.html,
23-10-2019 19:00,Cleveland Cavaliers,85,Orlando Magic,94,https://www.basketball-reference.com/boxscores/201910230ORL.html,
23-10-2019 19:30,Minnesota Timberwolves,127,Brooklyn Nets,126,https://www.basketball-reference.com/boxscores/201910230BRK.html,OT
23-10-2019 19:30,Memphis Grizzlies,101,Miami Heat,120,https://www.basketball-reference.com/boxscores/201910230MIA.html,
23-10-2019 19:30,Boston Celtics,93,Philadelphia 76ers,107,https://www.basketball-reference.com/boxscores/201910230PHI.html,
23-10-2019 20:30,Washington Wizards,100,Dallas Mavericks,108,https://www.basketball-reference.com/boxscores/201910230DAL.html,
23-10-2019 20:30,New York Knicks,111,San Antonio Spurs,120,https://www.basketball-reference.com/boxscores/201910230SAS.html,
23-10-2019 21:00,Oklahoma City Thunder,95,Utah Jazz,100,https://www.basketball-reference.com/boxscores/201910230UTA.html,
23-10-2019 22:00,Sacramento Kings,95,Phoenix Suns,124,https://www.basketball-reference.com/boxscores/201910230PHO.html,
23-10-2019 22:00,Denver Nuggets,108,Portland Trail Blazers,100,https://www.basketball-reference.com/boxscores/201910230POR.html,
24-10-2019 19:00,Atlanta Hawks,117,Detroit Pistons,100,https://www.basketball-reference.com/boxscores/201910240DET.html,
24-10-2019 20:00,Milwaukee Bucks,117,Houston Rockets,111,https://www.basketball-reference.com/boxscores/201910240HOU.html,
24-10-2019 22:30,Los Angeles Clippers,141,Golden State Warriors,122,https://www.basketball-reference.com/boxscores/201910240GSW.html,
25-10-2019 19:00,Toronto Raptors,106,Boston Celtics,112,https://www.basketball-reference.com/boxscores/201910250BOS.html,
25-10-2019 19:00,Minnesota Timberwolves,121,Charlotte Hornets,99,https://www.basketball-reference.com/boxscores/201910250CHO.html,
25-10-2019 19:30,New York Knicks,109,Brooklyn Nets,113,https://www.basketball-reference.com/boxscores/201910250BRK.html,
25-10-2019 20:00,Chicago Bulls,110,Memphis Grizzlies,102,https://www.basketball-reference.com/boxscores/201910250MEM.html,
25-10-2019 20:00,Dallas Mavericks,123,New Orleans Pelicans,116,https://www.basketball-reference.com/boxscores/201910250NOP.html,
25-10-2019 20:00,Washington Wizards,97,Oklahoma City Thunder,85,https://www.basketball-reference.com/boxscores/201910250OKC.html,
