Price,Posted Date,Unit No.,Address,Bedrooms,Bathrooms,Parking,Size,Maintenance,URL
399000,Aug-04-2020,2705,151 Village Green Sq,1.5,1,1,600,442,https://condos.ca/toronto/151-village-green-sq-toronto/unit-2705-E4855751
498900,Aug-04-2020,703,32 Camden St,0,1,0,499,319,https://condos.ca/toronto/thirty-two-camden-lofts-32-camden-st/unit-703-C4855676
449800,Aug-04-2020,1011,17 Zorra St,1,2,1,500,371,https://condos.ca/toronto/park-towers-condominiums-at-iq-15-zorra-st-17-zorra-st/unit-1011-W4855749
498000,Aug-04-2020,807,151 Village Green Sq,2.5,2,1,800,558,https://condos.ca/toronto/151-village-green-sq-toronto/unit-807-E4855577
497000,Aug-04-2020,202,6 Eva Rd,1.5,1,1,600,451,https://condos.ca/toronto/west-village-i-6-eva-rd/unit-202-W4855681
469900,Aug-04-2020,1002,400 Mclevin Ave,2.5,2,1,1200,799,https://condos.ca/toronto/mayfair-on-the-green-1-400-mclevin-ave/unit-1002-E4855593
499900,Aug-04-2020,1002,320 Richmond St E,1,1,1,499,337,https://condos.ca/toronto/the-modern-320-richmond-st-e/unit-1002-C4855271
488000,Aug-04-2020,PH06,19 Singer Crt,1.5,1,1,700,609,https://condos.ca/toronto/discovery-i-and-discovery-ii-15-33-singer-crt/unit-Ph06-C4855369
479900,Aug-04-2020,109,40 Sunrise Ave,3,2,1,1000,691,https://condos.ca/toronto/30-40-sunrise-avenue-condos-30-sunrise-ave-40-sunrise-ave/unit-109-C4855154
449000,Aug-04-2020,1004,80 Esther Lorrie Dr,1.5,1,1,600,563,https://condos.ca/toronto/cloud-9-80-esther-lorrie-dr/unit-1004-W4855208
499900,Aug-04-2020,309,212 St George St,1,1,1,500,645,https://condos.ca/toronto/powell-house-212-st-george-st/unit-309-C4855137
449000,Aug-04-2020,1710,225 Sherway Gardens Rd,1.5,1,1,600,571,https://condos.ca/toronto/one-sherway-2-225-sherway-gardens-rd/unit-1710-W4855107
489900,Aug-04-2020,1603,716 The West Mall,2.5,2,1,1200,893,https://condos.ca/toronto/the-buckingham-714-the-west-mall-716-the-west-mall/unit-1603-W4855084
449900,Aug-04-2020,#203,10 Dean Park Rd,2,2,1,1000,626,https://condos.ca/toronto/camargue-2-10-dean-park-rd-20-dean-park-rd/unit-203-E4854892
499000,Aug-04-2020,3912,50 Charles St E,0,1,0,499,206,https://condos.ca/toronto/casa-3-50-charles-st-e/unit-3912-C4854798
219900,Aug-04-2020,439,4645 Jane St,2,1,1,800,720,https://condos.ca/toronto/4745-jane-street-condos-4645-4771-jane-st/unit-439-W4854581
399900,Aug-04-2020,600,18 Pemberton Ave,1,1,1,500,469,https://condos.ca/toronto/park-palace-2-18-pemberton-ave/unit-600-C4854551
475000,Aug-04-2020,907,5 Parkway Forest Dr,2,1,1,900,675,https://condos.ca/toronto/york-gardens-2-165-village-greenway-5-parkway-forest-dr/unit-907-C4854580
462777,Aug-04-2020,1309,330 Mccowan Rd,1.5,1,1,600,409,https://condos.ca/toronto/sterling-club-2-330-mccowan-rd/unit-1309-E4854555
499000,Aug-04-2020,229,2 Eva Rd,1,1,1,600,489,https://condos.ca/toronto/west-village-2-2-eva-rd/unit-229-W4854518
415000,Aug-03-2020,201,735 Don Mills Rd,1,1,1,600,543,https://condos.ca/toronto/715-don-mills-715-735-don-mills-rd/unit-201-C4854439
479000,Aug-03-2020,309,7 Michael Power Pl,1,1,1,500,503,https://condos.ca/toronto/port-royal-place-5-7-michael-power-pl/unit-309-W4854392
499900,Aug-03-2020,807,20 Tubman Ave,1.5,1,0,500,350,https://condos.ca/toronto/the-wyatt-501-dundas-st-e-20-tubman-ave/unit-807-C4854369
398000,Aug-04-2020,3505,36 Lee Centre Dr,1,1,1,500,347,https://condos.ca/toronto/ellipse-west-tower-36-lee-centre-dr/unit-3505-E4854754
319900,Aug-04-2020,128,5225 Finch Ave E,1.5,1,1,500,328,https://condos.ca/toronto/woodside-pointe-5225-finch-ave-e-5235-finch-ave-e/unit-128-E4854761
439900,Aug-04-2020,16I,8 Rosebank Dr,1.5,1,1,600,488,https://condos.ca/toronto/markham-place-8-rosebank-dr/unit-16I-E4854596
379900,Aug-03-2020,1601,2901 Kipling Ave,1.5,1,1,600,462,https://condos.ca/toronto/rowntree-mill-2901-kipling-ave/unit-1601-W4854241
425000,Aug-02-2020,11D,6 Rosebank Dr,1,1,1,500,388,https://condos.ca/toronto/markham-place-2-6-rosebank-dr/unit-11D-E4854063
399000,Aug-02-2020,306,2 Ridelle Ave,2,1,2,900,580,https://condos.ca/toronto/ridelle-plaza-2-ridelle-ave/unit-306-C4854053
449800,Aug-02-2020,1505,18 Lee Centre Dr,1.5,1,1,600,563,https://condos.ca/toronto/hillsborough-court-18-lee-centre-dr/unit-1505-E4853921
499990,Aug-02-2020,163,252 John Garland Blvd,4.0,2,1,1200,586,https://condos.ca/toronto/252-john-garland-townhouses-242-262-john-garland-blvd/unit-163-W4853839
499000,Aug-01-2020,707,55 Huntingdale Blvd,2.5,2,1,1400,966,https://condos.ca/toronto/55-huntingdale-boulevard-scarborough/unit-707-E4853199
389900,Aug-01-2020,405,100 Wingarden Crt,2,2,1,1000,589,https://condos.ca/toronto/100-wingarden-court-condominium-100-wingarden-crt/unit-405-E4853538
399000,Aug-01-2020,802,15 James Finlay Way,1.5,2,1,700,702,https://condos.ca/toronto/ion-condos-15-james-finlay-way/unit-802-W4853517
499900,Aug-01-2020,1811,235 Sherway Gardens Rd,1.5,1,1,600,522,https://condos.ca/toronto/one-sherway-i-235-sherway-gardens-rd/unit-1811-W4853267
499000,Aug-01-2020,1611,840 Queen's Plate Dr,1.5,2,1,700,512,https://condos.ca/toronto/the-lexington-condominium-residences-by-the-park-840-queens-plate-dr/unit-1611-W4853395
409900,Aug-03-2020,1004,1 Massey Sq,2,1,1,900,763,https://condos.ca/toronto/crescent-town-6-12-crescent-town-rd-1-5-massey-sq/unit-1004-E4854223
499900,Aug-01-2020,105,17 Zorra St,1.5,2,1,600,438,https://condos.ca/toronto/park-towers-condominiums-at-iq-15-zorra-st-17-zorra-st/unit-105-W4853177
409999,Aug-01-2020,1012,3050 Ellesmere Rd,2,2,1,1000,764,https://condos.ca/toronto/mapledale-3050-ellesmere-rd/unit-1012-E4853198
459900,Jul-31-2020,607,271 Ridley Blvd,1.5,1,1,900,882,https://condos.ca/toronto/ridley-boulevard-1-271-ridley-blvd/unit-607-C4851989
399000,Jul-31-2020,2010,125 George Appleton Way,1,1,1,500,286,https://condos.ca/toronto/125-george-appleton-way-north-york
459000,Aug-01-2020,1007,15 James Finlay Way,1.5,2,2,600,635,https://condos.ca/toronto/ion-condos-15-james-finlay-way/unit-1007-W4852993
375800,Jul-31-2020,1711,3233 Eglinton Ave,1.5,1,1,700,553,https://condos.ca/toronto/guildwood-terrace-3231-eglinton-ave-e-3233-eglinton-ave-e/unit-1711-E4852175
398000,Aug-01-2020,504,5949 Yonge St,1.5,1,1,600,581,https://condos.ca/toronto/5949-yonge-street-north-york/unit-504-C4852712
398000,Aug-01-2020,504,5949 Yonge St,1.5,1,1,600,581,https://condos.ca/toronto/5949-yonge-street-north-york/unit-504-C4852712
499000,Aug-01-2020,605,170 Fort York Blvd,1,1,0,499,334,https://condos.ca/toronto/library-district-170-fort-york-blvd/unit-605-C4852592
469900,Aug-01-2020,207,2355 Sheppard Ave W,1,1,1,500,177,https://condos.ca/toronto/the-brownstones-at-westown-60-100-parrotta-dr-2315-2355-sheppard-ave-w/unit-207-W4852525
499800,Aug-01-2020,242,165 Cherokee Blvd,4,2,1,1200,447,https://condos.ca/toronto/woodfinch-mews-165-cherokee-blvd/unit-242-C4852769
474900,Jul-31-2020,,,1,1,1,600,360,https://condos.ca/toronto/the-shermount-21-25-replin-rd-650-lawrence-ave-w/c4851809
369900,Jul-31-2020,# 1705,101 Prudential Dr,1,1,1,700,500,https://condos.ca/toronto/the-birches-101-prudential-dr/unit-1705-E4852292
469900,Aug-01-2020,Unit325,8 Mercer St,0,1,0,499,196,https://condos.ca/toronto/the-mercer-8-mercer-st/unit-Unit325-C4852892
448000,Jul-31-2020,PH4,955 O'connor Dr,2.5,2,1,900,586,https://condos.ca/toronto/955-oconnor-condos-955-o-connor-dr/unit-Ph4-E4851739
484000,Jul-31-2020,#509,7 Michael Power Pl,1,1,1,500,503,https://condos.ca/toronto/port-royal-place-5-7-michael-power-pl/unit-509-W4852161
499999,Jul-31-2020,101,1900 Sheppard Ave E,3.5,2,1,1000,1076,https://condos.ca/toronto/crossroads-ii-1900-sheppard-ave-e/unit-101-C4852064
499900,Aug-01-2020,110,2035 Sheppard Ave E,1,1,1,500,552,https://condos.ca/toronto/legacy-at-herons-hill-30-heron-s-hill-way-2035-sheppard-ave-e/unit-110-C4852747
499999,Aug-01-2020,1604,50 Charles St E,1,1,0,499,208,https://condos.ca/toronto/casa-3-50-charles-st-e/unit-1604-C4852995
439000,Jul-31-2020,708,160 Flemington Rd,1.5,1,0,500,399,https://condos.ca/toronto/the-yorkdale-1-leila-ln-152-160-flemington-rd/unit-708-W4852326
499999,Jul-31-2020,103,3 Applewood Lane W,2,1,1,700,197,https://condos.ca/toronto/dwell-city-towns-3-35-applewood-lane-2-holiday-dr/unit-103-W4851773
499900,Jul-31-2020,509,2088 Lawrence Ave W,3,2,1,1200,971,https://condos.ca/toronto/river-hill-2088-lawrence-ave-w/unit-509-W4852320
499999,Aug-01-2020,5211,30 Shore Breeze Dr,1,1,1,500,468,https://condos.ca/toronto/sky-tower-at-eau-du-soleil-30-shore-breeze-drive-2183-lake-shore-blvd-w/unit-5211-W4853087
499900,Aug-01-2020,303,503 Beecroft Rd,1.5,1,1,600,657,https://condos.ca/toronto/c-condos-503-beecroft-rd/unit-303-C4853113
499000,Jul-31-2020,1203,215 Queen St W,1,1,0,499,361,https://condos.ca/toronto/smart-house-215-queen-st-w/unit-1203-C4852208
495000,Jul-31-2020,2202,125 Village Green Sq,1.5,1,1,700,405,https://condos.ca/toronto/solaris-1-125-village-green-square/unit-2202-E4851788
